"comparison","feature_set","feature","coef","stderr","pval","qval","N","N.not.0"
"eoCRC_vs_YoungCtrl","species","species.Parvimonas.micra",1.00172772133211,0.158430388281812,1.68582404654458e-09,3.70881290239807e-07,199,43
"eoCRC_vs_YoungCtrl","species","species.Gemella.morbillorum",0.720731017975374,0.133884877387247,2.07262078664761e-07,1.51992191020824e-05,199,28
"eoCRC_vs_YoungCtrl","species","species.Peptostreptococcus.stomatis",0.745144857741673,0.137302153601279,1.67399419282815e-07,1.51992191020824e-05,199,28
"eoCRC_vs_YoungCtrl","species","species.Anaerotruncus.colihominis",0.706399484647916,0.175637945211883,8.22118210076951e-05,0.00361732012433858,199,80
"eoCRC_vs_YoungCtrl","species","species.Dialister.pneumosintes",0.511816655826319,0.126400591162055,7.38573257991196e-05,0.00361732012433858,199,19
"eoCRC_vs_YoungCtrl","species","species.Monoglobus.pectinilyticus",-0.623267806081663,0.159959688898817,0.000134495807915719,0.0049315129569097,199,22
"eoCRC_vs_YoungCtrl","species","species.Romboutsia.ilealis",-0.341323990978189,0.0947750562181285,0.000402014437520022,0.012634739464915,199,14
"eoCRC_vs_YoungCtrl","species","species.Actinomyces.sp..HPA0247",-0.295404880676625,0.0858498942276096,0.000709362458038454,0.015605974076846,199,8
"eoCRC_vs_YoungCtrl","species","species.Bacteroides.cellulosilyticus",0.904208942431285,0.260637814754691,0.00064111430235816,0.015605974076846,199,73
"eoCRC_vs_YoungCtrl","species","species.Streptococcus.sp..A12",-0.371303115562651,0.107907120251419,0.000708652652214985,0.015605974076846,199,24
"eoCRC_vs_YoungCtrl","species","species.Alistipes.putredinis",0.998691133165659,0.302369259189112,0.00113804011295185,0.022760802259037,199,123
"eoCRC_vs_YoungCtrl","species","species.Bilophila.wadsworthia",0.603397360855215,0.184225580089882,0.00124892754411119,0.0228970049753719,199,122
"eoCRC_vs_YoungCtrl","species","species.Collinsella.aerofaciens",0.862057007610938,0.265542382269771,0.00137363562831771,0.0232461414022998,199,155
